"","County","Region","Adult_population","Asthma_visits","Vaccination_rate","Asthma_visit_rate"
"1","Dougherty","North",2500,1750,0.68,0.7
"2","Lee","Central",18500,1420,0.72,0.1
"3","Abbot","South",3200,2560,0.61,0.8
"4","Greg","North",27500,1980,0.75,0.1
"5","Jackson","Central",41000,3100,0.64,0.1
"6","Bob","South",22500,1650,0.7,0.1
"7","Door","North",30000,2250,0.58,0.1
"8","Custer","Central",15500,1180,0.77,0.1
"9","Baldwin","South",36000,2870,0.66,0.1
"10","Gila","North",29000,2050,0.71,0.1
"11","Orange","Central",21000,1510,0.63,0.1
"12","Pike","South",38500,2950,0.69,0.1
